Mon Apr 11 03:28:41 +0000 2016;KMonajed;RT @Rio2016: O inovador Estádio Aquático Olímpico, casa da #Natação e do #PoloAquático foi inaugurado: https://t.co/Ab6h0ARM3v https://t.co…;
Mon Apr 11 03:20:06 +0000 2016;alynepassarelli;Piccinini brilha aos 37 anos e é campeã da Liga dos Campeões https://t.co/k0oeUzP96H via @UOLEsporte #Rio2016  Piccinini &lt;3;
Mon Apr 11 03:19:59 +0000 2016;TozzaFla;@Chico_PC @Rio2016 rsrs boa sorte...;
Mon Apr 11 03:19:30 +0000 2016;Chico_PC;@TozzaFla isso. E depois falaram q ia ter Nova licitação e terminando a @Rio2016 já voltaria com o novo dono.;
Mon Apr 11 02:47:04 +0000 2016;SIGLIAABRAHAO;RT @Rio2016: . @ziconarede esteve aqui no comitê e deixou um recado para apoiar os atletas que virão ao #Rio2016!
https://t.co/Wg0PiFskDS;
Mon Apr 11 02:45:21 +0000 2016;ap_angel;Gente vai ter competição de games no rio 2016#esport #rio2016/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
;
Mon Apr 11 02:44:34 +0000 2016;cidade_maravilh;RT @SlimPapi25: #copacabana #sandsculptures #rio2016 #CachaçaDiaries #🇧🇷 @ Praia de Copacabana https://t.co/hlrxgER46q;
Mon Apr 11 02:38:05 +0000 2016;SeuEsporteBR;VOCÊS já são OURO! (Futebol Feminino)! #Rio2016 https://t.co/s6TGrKjYCw via @YouTube;
Mon Apr 11 02:35:49 +0000 2016;ANDERSONGURGEL;RT @Rio2016: O inovador Estádio Aquático Olímpico, casa da #Natação e do #PoloAquático foi inaugurado: https://t.co/Ab6h0ARM3v https://t.co…;
Mon Apr 11 02:34:12 +0000 2016;SlimPapi25;#copacabana #sandsculptures #rio2016 #CachaçaDiaries #🇧🇷 @ Praia de Copacabana https://t.co/hlrxgER46q;
Mon Apr 11 02:32:46 +0000 2016;dois_min;Tu sabes quais seleções no masculino e no feminino q jogarão a #Rio2016? Ñ! Passa lá no blog q nós te contamos ;) https://t.co/3x3a88VWaP;
Mon Apr 11 02:26:42 +0000 2016;Wilcke;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 02:22:24 +0000 2016;_TalitaCRF;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Mon Apr 11 02:12:51 +0000 2016;andres_knoll;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Mon Apr 11 02:02:45 +0000 2016;maur0p;Ativista cria loja de lembranças críticas da Rio-2016 e recebe ameaças https://t.co/eeGRGtn62s via @UOLEsporte #Rio2016;
Mon Apr 11 02:02:20 +0000 2016;fernandoseller;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 02:01:36 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A @nikebrasil apresenta os uniformes de pódio do @timebrasil para o @Rio2016 https://t.co/TSwXbxYG2p https://t.co/qlWpIg…;
Mon Apr 11 02:01:17 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Nadador sul-coreano campeão Olímpico suspenso por doping é barrado do @Rio2016 https://t.co/SafsmaHV8z https://t.co/m7qB…;
Mon Apr 11 02:00:55 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto...Brasil conhece os adversários no torneio de Polo Aquático no @Rio2016 https://t.co/0gEyHDi4nk https…;
Mon Apr 11 01:57:14 +0000 2016;SurtoOlimpico;A @nikebrasil apresenta os uniformes de pódio do @timebrasil para o @Rio2016 https://t.co/TSwXbxYG2p https://t.co/qlWpIgw4WT;
Mon Apr 11 01:54:07 +0000 2016;SurtoOlimpico;Nadador sul-coreano campeão Olímpico suspenso por doping é barrado do @Rio2016 https://t.co/SafsmaHV8z https://t.co/m7qBuusgoT;
Mon Apr 11 01:52:02 +0000 2016;ritabuhrer;RT @Brasil2016: Voos internacionais registram aumento de 289% durante as Olimpíadas: https://t.co/SU4rwZylAa #Rio2016 https://t.co/W3IWm7cp…;
Mon Apr 11 01:50:28 +0000 2016;SurtoOlimpico;Destaques do Surto...Brasil conhece os adversários no torneio de Polo Aquático no @Rio2016 https://t.co/0gEyHDi4nk https://t.co/Rj5s56dt4k;
Mon Apr 11 01:47:21 +0000 2016;dois_min;Definidas as seleções masculinas que participarão do handebol na #Rio2016 https://t.co/1a6EWYjn6O https://t.co/9XhvnnmuBl;
Mon Apr 11 01:41:42 +0000 2016;iagoagomes_;RT @W_Assis7: @iagoagomes_ Sim! não sei pq a Rio2016 tem que fica com o estádio tanto tempo;
Mon Apr 11 01:40:04 +0000 2016;W_Assis7;@iagoagomes_ Sim! não sei pq a Rio2016 tem que fica com o estádio tanto tempo;
Mon Apr 11 01:36:01 +0000 2016;josemilton_jmr;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 01:35:43 +0000 2016;mary_joy_morais;RT @Brasil2016: Voos internacionais registram aumento de 289% durante as Olimpíadas: https://t.co/SU4rwZylAa #Rio2016 https://t.co/W3IWm7cp…;
Mon Apr 11 01:23:08 +0000 2016;SaraAguuiar;RT @Brasil2016: Voos internacionais registram aumento de 289% durante as Olimpíadas: https://t.co/SU4rwZylAa #Rio2016 https://t.co/W3IWm7cp…;
Mon Apr 11 01:03:15 +0000 2016;Alebenite;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 01:01:29 +0000 2016;Vcppassos;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 01:00:51 +0000 2016;mjandrade;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 01:00:10 +0000 2016;Brasil2016;Voos internacionais registram aumento de 289% durante as Olimpíadas: https://t.co/SU4rwZylAa #Rio2016 https://t.co/W3IWm7cp5N;
Mon Apr 11 00:46:38 +0000 2016;LeniseP;RT @Rio2016: O inovador Estádio Aquático Olímpico, casa da #Natação e do #PoloAquático foi inaugurado: https://t.co/Ab6h0ARM3v https://t.co…;
Mon Apr 11 00:45:16 +0000 2016;LeniseP;RT @JogosOlimpicos: Faltam #4meses para 🎯🏀⚽⚾🎾🏉⛳🏇🚵🏊👯🏆! @Rio2016, queremos lhe encontrar, seu lindo! #VemAgosto https://t.co/PXCxW40SET;
Mon Apr 11 00:44:14 +0000 2016;AdaByronKing;RT @arydasilvajr: Me arrepiei com o comercial da @TAMAirlines pros @JogosOlimpicos @Rio2016. #SomosTodosBrasil;
Mon Apr 11 00:38:17 +0000 2016;cidade_maravilh;RT @Estantes_RJ: ESTANTE DE AÇO C 6 PRATELEIRAS
99,90 (DINHEIRO)
PRODUTO NOVO
#promoção #taquara #jacarepaguá #barradatijuca #riodejaneiro…;
Mon Apr 11 00:38:14 +0000 2016;cidade_maravilh;RT @Silicone_Molde: BORRACHA DE SILICONE
29,90 KG C CATALISADOR 
(21)2445-1929/98558-3595
EST. BANDEIRANTES, 829, JPA
#riodejaneiro #rio #r…;
Mon Apr 11 00:38:14 +0000 2016;riquefreire;RT @Brasil2016: Palco das provas de vela no #Rio2016, nova Marina da Glória será apresentada daqui a pouco. #SomosTodosBrasil https://t.co/…;
Mon Apr 11 00:38:05 +0000 2016;Lulala2018;RT @Brasil2016: Palco das provas de vela no #Rio2016, nova Marina da Glória será apresentada daqui a pouco. #SomosTodosBrasil https://t.co/…;
Mon Apr 11 00:36:59 +0000 2016;FlaRobSal;RT @Brasil2016: Palco das provas de vela no #Rio2016, nova Marina da Glória será apresentada daqui a pouco. #SomosTodosBrasil https://t.co/…;
Mon Apr 11 00:34:35 +0000 2016;Silicone_Molde;BORRACHA DE SILICONE
29,90 KG C CATALISADOR 
(21)2445-1929/98558-3595
EST. BANDEIRANTES, 829, JPA
#riodejaneiro #rio #rj #rio2016 #errejota;
Mon Apr 11 00:33:00 +0000 2016;AdaByronKing;RT @Brasil2016: Palco das provas de vela no #Rio2016, nova Marina da Glória será apresentada daqui a pouco. #SomosTodosBrasil https://t.co/…;
Mon Apr 11 00:31:10 +0000 2016;patyangel;#cidadeolimpica #rio2016 #nocaptionneeded @ Museu do Amanhã https://t.co/lAduPlqKUU;
Mon Apr 11 00:29:57 +0000 2016;Estantes_RJ;ESTANTE DE AÇO C 6 PRATELEIRAS
99,90 (DINHEIRO)
PRODUTO NOVO
#promoção #taquara #jacarepaguá #barradatijuca #riodejaneiro #errejota #rio2016;
Mon Apr 11 00:25:02 +0000 2016;bernkasttel;@rafucko : Ativista cria loja de lembranças críticas da Rio-2016 e recebe ameaças via @UOLEsporte #Rio2016   https://t.co/7zOw6LWrlp;
Mon Apr 11 00:21:30 +0000 2016;LuanSantosP;Ohhh acabou😰 #errejota #rio2016 @ Rio de Janeiro–Galeão… https://t.co/iBMpMuTuhe;
Mon Apr 11 00:21:08 +0000 2016;alem_do_futebol;Marcha Atlética, José Bagio da @FMDBlumenau conquistou o índice p/ @Rio2016 na prova dos 20km. Ele foi 5º (1:22:15) no GP de Rio Maior/POR;
Mon Apr 11 00:19:44 +0000 2016;wevertonjorges2;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 00:19:05 +0000 2016;ribeiroivanir;RT @Brasil2016: Palco da vela no #Rio2016, nova Marina da Glória é apresentada: https://t.co/iilfyrKmhj #SomosTodosBrasil https://t.co/zqg0…;
Mon Apr 11 00:17:17 +0000 2016;ilobur_news;#Rio2016 #ブラジル #五輪 Yahoo Esportes
Guia Rio 2016- Handebol masculino: Brasil com condições de ser ...
Yahoo Esporte… https://t.co/fmyiAJ0LKF;
Mon Apr 11 00:15:36 +0000 2016;umpassarimazul;Ativista cria loja de lembranças críticas da Rio-2016 e recebe ameaças https://t.co/M1htKrFfXJ via @UOLEsporte #Rio2016;
Mon Apr 11 00:14:46 +0000 2016;sbarros1961;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 00:13:40 +0000 2016;PLemCuritiba;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 00:12:23 +0000 2016;elieteprb;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 00:04:23 +0000 2016;luciansaar;Indo pra casa ! #Rio2016 https://t.co/lDhadJxg2K;
Sun Apr 10 23:52:45 +0000 2016;cidade_maravilh;RT @DEBOLAY: O Dudu quer quer que os podres se fodam, imaginem os bichinhos!!! #vergonha #Rio2016 #riodejaneiro  @EduardoPaes15 https://t.c…;
Sun Apr 10 23:50:41 +0000 2016;DEBOLAY;O Dudu quer quer que os podres se fodam, imaginem os bichinhos!!! #vergonha #Rio2016 #riodejaneiro  @EduardoPaes15 https://t.co/609nLPrCJQ;
Sun Apr 10 23:47:03 +0000 2016;numinsta;Filhos da Esperança
https://t.co/IxxgfpFl3D 👌👏🎬🎥 @ClaroVideoBr #Rio2016 #ISIS #FaustusLondon #MovieStarPlanet;
Sun Apr 10 23:43:56 +0000 2016;fwallina;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 23:40:10 +0000 2016;AtilaAtilajp00;Ativista cria loja de lembranças críticas da Rio-2016 e recebe ameaças via @UOLEsporte #Rio2016   https://t.co/JP1soouTe9;
Sun Apr 10 23:37:25 +0000 2016;serbretas;Meninas da seleção de futebol dos EUA ameaçam boicotar #Rio2016 se seus salários não tiverem paridade com os homens. https://t.co/lIz7QFLqRf;
Sun Apr 10 23:35:14 +0000 2016;naldobarros690;RT @cpboficial: Veja o recado dos craques Júnior, Jefinho e Ricardinho!  #JogosParalímpicos @Rio2016 #Faltam150Dias #TEMQUEIR
https://t.co/…;
Sun Apr 10 23:30:45 +0000 2016;mulheresemfoco;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 23:22:48 +0000 2016;meliguedes;Faltam 117 dias. Quero acompanhar várias competições . #Rio2016;
Sun Apr 10 23:09:58 +0000 2016;fabinovello;RT @joymurasaki: Mais uma matéria do 'ABC das Olimpíadas'! O assunto agora é o Levantamento de Peso #CBN #Rio2016 https://t.co/ZSwlCpvE5S;
Sun Apr 10 23:07:40 +0000 2016;_whereinrio;Como não ser feliz com esta vista maravilhosa? 
#2016 #rio2016 #olympics #rentalproperty #imoveisrj #whereinrio... https://t.co/uoFq5KiUEE;
Sun Apr 10 23:03:12 +0000 2016;cd_helen;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Sun Apr 10 23:02:43 +0000 2016;oscarvalporto;Coluna no @correio24horas, as duas seleções da @CBF_Futebol e seu técnico, as meninas do Zé (@vôlei) para @Rio2016: https://t.co/7TXb4CxaNn;
Sun Apr 10 23:01:14 +0000 2016;joymurasaki;Mais uma matéria do 'ABC das Olimpíadas'! O assunto agora é o Levantamento de Peso #CBN #Rio2016 https://t.co/ZSwlCpvE5S;
Sun Apr 10 22:59:44 +0000 2016;aunidos56;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 22:57:04 +0000 2016;drimarchesani;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 22:56:38 +0000 2016;MagriYoga;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 22:50:53 +0000 2016;PSvozil;Onde posso compra roupas com @TomRio2016 e @ViniciusRio2016? #Rio2016 https://t.co/lZsWrQc1hr;
Sun Apr 10 22:49:13 +0000 2016;AdaByronKing;RT @Brasil2016: Palco da vela no #Rio2016, nova Marina da Glória é apresentada: https://t.co/iilfyrKmhj #SomosTodosBrasil https://t.co/zqg0…;
Sun Apr 10 22:49:05 +0000 2016;Brasil2016;Palco da vela no #Rio2016, nova Marina da Glória é apresentada: https://t.co/iilfyrKmhj #SomosTodosBrasil https://t.co/zqg07n2Kyx;
Sun Apr 10 22:38:10 +0000 2016;luizhgviana;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 22:31:37 +0000 2016;EDRIBEIRO14;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 22:24:50 +0000 2016;jonasdotcom;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 22:23:27 +0000 2016;FerrazMonte;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 22:21:01 +0000 2016;AcvasconcelosC;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 22:17:53 +0000 2016;azvdo;Globo alivia pmdbrj:obra atrasada p/ 2018 na seção #Rio2016 do jornal
"Tatuzão conclui escavação do túnel que [...]"
https://t.co/zEpndDlPDX;
Sun Apr 10 22:17:24 +0000 2016;fla_plantao;@opedrocaruso @wellingcampos @FFERJ @Rio2016 Não fez vídeo da partida pro Canal?;
Sun Apr 10 22:14:33 +0000 2016;CATWLACDIR;RT @track41: Diga Não ao #Turismo Sexual na #Olimpiada 
#Rio2016 https://t.co/X5vNJye9IE;
Sun Apr 10 22:12:26 +0000 2016;JoseeMadeira;RT @agenciabrasil: Correios vão transportar mais de 30 milhões de itens esportivos na @Rio2016  https://t.co/Qetyfw4Xlo https://t.co/W7aBYi…;
Sun Apr 10 22:08:28 +0000 2016;bk_contador;@EdugmRJ @cadurm0ura @wellingcampos @FFERJ @Rio2016 fico pensando como deve estar o gramado;
Sun Apr 10 22:02:00 +0000 2016;felipe_tapioca;@opedrocaruso @wellingcampos @FFERJ @Rio2016 Show pode,futebol não.....é uma piada isso;
Sun Apr 10 22:01:38 +0000 2016;dariodigennaro;RT @Rio2016: O inovador Estádio Aquático Olímpico, casa da #Natação e do #PoloAquático foi inaugurado: https://t.co/Ab6h0ARM3v https://t.co…;
Sun Apr 10 22:01:19 +0000 2016;felipe_tapioca;@caiorn_ @wellingcampos @FFERJ @Rio2016 pode fazer Show mas futebol não pode, 7x1 foi muito POUCO!;
Sun Apr 10 22:01:12 +0000 2016;LeiteCelio;@EdugmRJ @bk_contador @cadurm0ura @wellingcampos @FFERJ @Rio2016 com certeza Roubinho espera ter o Vasquim  na final e não o Flu;
Sun Apr 10 22:01:01 +0000 2016;_Flaviorealize;@dilmabr @Rio2016 com a atual situação do Brasil e o sistema de saúde sucateado não devia ter olimpíadas,  reverte para saúde e educação! !!;
Sun Apr 10 21:59:40 +0000 2016;EdneaBassi;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:58:57 +0000 2016;JairzinhoUfra13;A competição de handebol no @Rio2016_en não será a mesma sem os #Hispanos  https://t.co/SBXKySUWHg;
Sun Apr 10 21:58:47 +0000 2016;ricardo201611;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:58:35 +0000 2016;caiorn_;@Macena_FLA @Rio2016 @rvvveloso foda-se ele. #paz;
Sun Apr 10 21:57:36 +0000 2016;Macena_FLA;@caiorn_ @Rio2016 o @rvvveloso já vetou.;
Sun Apr 10 21:56:39 +0000 2016;Akioumezu;RT @BorgesHand18: Esta chegando a hora ... trabalhar muito para estar com os #guerreiros neste evento único e histórico !

#Rio2016... http…;
Sun Apr 10 21:55:06 +0000 2016;Renato__Beta;RT @Passenger6A_BR: Contagem regressiva...https://t.co/3N06TwhYGO @Rio2016 https://t.co/Gh2HdxPSrc;
Sun Apr 10 21:53:30 +0000 2016;GuigaMendees;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:53:15 +0000 2016;AndradeSamuel7;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:53:07 +0000 2016;Crvgui_;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:52:30 +0000 2016;gabrielpSRN;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:51:52 +0000 2016;vinicius_sj10;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:51:44 +0000 2016;Leonardovcg;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:50:41 +0000 2016;caiorn_;Eu tô com uma saudade fudida de pegar o trem e ir pro Maracanã ver jogos do Flamengo. Que consigam negociar com o @Rio2016 mesmo.;
Sun Apr 10 21:50:17 +0000 2016;Passenger6A_BR;Contagem regressiva...https://t.co/3N06TwhYGO @Rio2016 https://t.co/Gh2HdxPSrc;
Sun Apr 10 21:50:13 +0000 2016;BorgesHand18;Esta chegando a hora ... trabalhar muito para estar com os #guerreiros neste evento único e histórico !

#Rio2016... https://t.co/LUVo13ynDo;
Sun Apr 10 21:49:20 +0000 2016;rosavala;RT @dilmabr: Inaugurei hj o Estádio Aquático Olímpico, no RJ, q será palco das competições de natação e pólo aquático do @Rio2016 https://t…;
Sun Apr 10 21:49:04 +0000 2016;solazizasports;O esporte e União paz treino adrenalina 😀😀Rio2016💚💛💚💛💚💛;
Sun Apr 10 21:48:22 +0000 2016;igormagella;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:47:51 +0000 2016;CyroDelgado;#golfnaespn qual a classificação do campo Olímpico #Rio2016 entre os melhores campos públicos no mundo? Quero aprender no Rio;
Sun Apr 10 21:45:38 +0000 2016;UalaciAlmeida;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:43:35 +0000 2016;EliseDuque;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:43:09 +0000 2016;gabrielbxd13;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:42:53 +0000 2016;Dr_Jose_Luis;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:41:50 +0000 2016;bfr_marcos;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:41:11 +0000 2016;rafaameirelles;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:41:10 +0000 2016;paollaffc;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:40:58 +0000 2016;lucia_brazil;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:40:37 +0000 2016;Philipespier;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:40:15 +0000 2016;SabrinaVianna;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:39:31 +0000 2016;IVYJUNEAU;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:39:30 +0000 2016;celoalc;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:39:22 +0000 2016;ABBMaues;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:37:49 +0000 2016;felipebritofb;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:36:37 +0000 2016;Luiz_C_Carvalho;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:35:40 +0000 2016;emersonbraz;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:35:25 +0000 2016;Macena_FLA;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:34:27 +0000 2016;UMAGAHEXA;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:34:20 +0000 2016;FelippeCardosoN;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:34:09 +0000 2016;CristhianReis1;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:34:05 +0000 2016;carlstonlavor;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Sun Apr 10 21:33:41 +0000 2016;wellingcampos;Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evoluindo.;
Sun Apr 10 21:33:23 +0000 2016;quecoisaprimo;@dilmabr @Rio2016 fora Dilma!;
Sun Apr 10 21:32:19 +0000 2016;OMMEADGuayama;RT @ComiteOlimpico: Torneo Los Brujos de Taekwondo en Guayama es dedicado a la clasificada a @rio2016, la taekwondoísta Crystal Weekes. htt…;
Sun Apr 10 21:29:17 +0000 2016;luminoto;RT @dilmabr: Inaugurei hj o Estádio Aquático Olímpico, no RJ, q será palco das competições de natação e pólo aquático do @Rio2016 https://t…;
Sun Apr 10 21:29:16 +0000 2016;ilobur_news;#Rio2016 #ブラジル #五輪 https://t.co/BRXZILW0Yj
Tenista Caroline Wozniacki corre risco de não participar da Rio 2016
Tor… https://t.co/wwxdCKYbtV;
Sun Apr 10 21:26:14 +0000 2016;antonioklemer;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:24:05 +0000 2016;dppabloescobar;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Sun Apr 10 21:23:35 +0000 2016;inter_blumenau;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
